stationId,createdAt,type,issue
6539279ee0265e4af914b846,2022-06-26,Negative Feedback,Negligence
6539279ee0265e4af914b851,2021-08-09,Negative Feedback,misconduct
6539279ee0265e4af914b84b,2023-10-12,miscellaneous,
6539279ee0265e4af914b84b,2022-09-23,Negative Feedback,Inefficiency
6539279ee0265e4af914b851,2020-02-06,miscellaneous,
6539279ee0265e4af914b84a,2020-04-02,Positive Feedback,
6539279ee0265e4af914b851,2022-03-04,Neutral Feedback,
6539279ee0265e4af914b84a,2021-03-29,Negative Feedback,misconduct
6539279ee0265e4af914b84f,2023-04-15,Negative Feedback,misconduct
6536be3227c19dbd146b1d61,2022-03-10,miscellaneous,
6539279ee0265e4af914b848,2020-06-23,Positive Feedback,
6539279ee0265e4af914b849,2020-12-14,Negative Feedback,Use of Firearms
6539279ee0265e4af914b84b,2020-05-13,miscellaneous,
6539279ee0265e4af914b849,2020-02-12,Neutral Feedback,
6539279ee0265e4af914b851,2020-03-30,miscellaneous,
6539279ee0265e4af914b84f,2023-05-09,Neutral Feedback,
6539279ee0265e4af914b848,2020-09-07,miscellaneous,
6539279ee0265e4af914b846,2022-05-24,Positive Feedback,
6539279ee0265e4af914b851,2020-07-18,miscellaneous,
6539279ee0265e4af914b84a,2022-04-02,Neutral Feedback,
6539279ee0265e4af914b84f,2022-04-04,miscellaneous,
6536be3227c19dbd146b1d61,2023-10-02,miscellaneous,
6539279ee0265e4af914b851,2023-06-14,Positive Feedback,
6539279ee0265e4af914b848,2023-03-26,Negative Feedback,Misconduct
6539279ee0265e4af914b851,2021-10-11,Neutral Feedback,
6539279ee0265e4af914b84a,2022-01-19,Negative Feedback,Inefficiency
6539279ee0265e4af914b84a,2022-12-18,Positive Feedback,
6539279ee0265e4af914b848,2022-09-07,Positive Feedback,
6539279ee0265e4af914b848,2022-06-17,Neutral Feedback,
6539279ee0265e4af914b849,2021-06-04,Positive Feedback,
6539279ee0265e4af914b84a,2022-01-27,Neutral Feedback,
6539279ee0265e4af914b84f,2023-08-04,Positive Feedback,
6539279ee0265e4af914b856,2021-09-12,Neutral Feedback,
6539279ee0265e4af914b851,2021-01-09,miscellaneous,
6539279ee0265e4af914b856,2020-03-12,Neutral Feedback,
6539279ee0265e4af914b84a,2023-04-28,Positive Feedback,
6539279ee0265e4af914b851,2021-03-22,Negative Feedback,Misconduct
6536be3227c19dbd146b1d61,2022-11-21,Positive Feedback,
6536be3227c19dbd146b1d61,2020-05-19,Positive Feedback,
6539279ee0265e4af914b84b,2020-07-28,Positive Feedback,
6539279ee0265e4af914b84a,2023-10-17,miscellaneous,
6539279ee0265e4af914b84b,2021-09-28,miscellaneous,
6539279ee0265e4af914b84b,2022-12-13,Negative Feedback,Unprofessional Conduct
6539279ee0265e4af914b851,2022-01-13,Neutral Feedback,
6539279ee0265e4af914b846,2021-01-29,Negative Feedback,Misconduct
6539279ee0265e4af914b849,2022-02-02,Negative Feedback,misconduct
6539279ee0265e4af914b856,2023-04-25,Positive Feedback,
6539279ee0265e4af914b848,2023-10-09,Negative Feedback,Misconduct
6539279ee0265e4af914b84a,2020-07-11,miscellaneous,
6539279ee0265e4af914b84a,2023-02-01,Negative Feedback,Negligence
6539279ee0265e4af914b84f,2022-11-24,miscellaneous,
6539279ee0265e4af914b849,2021-07-21,Negative Feedback,Misconduct
6539279ee0265e4af914b84b,2021-04-10,Positive Feedback,
6539279ee0265e4af914b846,2022-09-26,Negative Feedback,Response Time
6539279ee0265e4af914b84a,2021-04-14,Positive Feedback,
6539279ee0265e4af914b846,2021-03-25,miscellaneous,
6539279ee0265e4af914b849,2022-01-03,miscellaneous,
6539279ee0265e4af914b848,2022-09-15,miscellaneous,
6539279ee0265e4af914b846,2021-10-24,Positive Feedback,
6539279ee0265e4af914b851,2023-05-02,Positive Feedback,
6539279ee0265e4af914b851,2023-05-02,Negative Feedback,Misconduct
6536be3227c19dbd146b1d61,2021-03-28,Neutral Feedback,
6536be3227c19dbd146b1d61,2021-12-30,miscellaneous,
6539279ee0265e4af914b84f,2021-03-27,Neutral Feedback,
6536be3227c19dbd146b1d61,2021-05-02,Neutral Feedback,
6539279ee0265e4af914b849,2021-09-09,miscellaneous,
6539279ee0265e4af914b856,2020-07-17,Neutral Feedback,
6539279ee0265e4af914b848,2020-04-20,Positive Feedback,
6539279ee0265e4af914b84b,2020-09-09,Negative Feedback,Negligence
6539279ee0265e4af914b84f,2021-05-19,Neutral Feedback,
6539279ee0265e4af914b856,2022-09-21,Neutral Feedback,
6536be3227c19dbd146b1d61,2021-12-25,miscellaneous,
6539279ee0265e4af914b84a,2020-08-05,Positive Feedback,
6539279ee0265e4af914b856,2021-05-13,Positive Feedback,
6539279ee0265e4af914b84a,2022-07-13,miscellaneous,
6539279ee0265e4af914b846,2023-01-07,miscellaneous,
6539279ee0265e4af914b856,2021-10-11,Positive Feedback,
6536be3227c19dbd146b1d61,2020-01-26,Positive Feedback,
6539279ee0265e4af914b851,2022-12-13,Positive Feedback,
6539279ee0265e4af914b84f,2021-07-30,Neutral Feedback,
6539279ee0265e4af914b849,2020-05-12,Neutral Feedback,
6539279ee0265e4af914b84b,2023-09-20,Negative Feedback,Misconduct
6539279ee0265e4af914b846,2022-03-03,Negative Feedback,Use of Firearms
6539279ee0265e4af914b846,2020-06-15,Neutral Feedback,
6539279ee0265e4af914b846,2021-01-20,Negative Feedback,Use of Firearms
6539279ee0265e4af914b848,2023-08-01,Positive Feedback,
6539279ee0265e4af914b849,2023-11-11,Neutral Feedback,
6539279ee0265e4af914b846,2020-04-13,Negative Feedback,Use of Firearms
6539279ee0265e4af914b84a,2023-01-15,Positive Feedback,
6539279ee0265e4af914b856,2021-10-19,Negative Feedback,Inefficiency
6539279ee0265e4af914b84b,2023-08-13,Positive Feedback,
6536be3227c19dbd146b1d61,2022-10-19,Neutral Feedback,
6539279ee0265e4af914b851,2023-08-25,Positive Feedback,
6539279ee0265e4af914b84b,2023-03-13,miscellaneous,
6539279ee0265e4af914b84f,2020-12-24,Neutral Feedback,
6539279ee0265e4af914b849,2021-09-17,Negative Feedback,Inefficiency
6539279ee0265e4af914b84f,2021-07-11,Negative Feedback,Use of Firearms
6539279ee0265e4af914b846,2021-09-29,Negative Feedback,Negligence
6539279ee0265e4af914b851,2020-04-11,Positive Feedback,
6536be3227c19dbd146b1d61,2021-06-12,miscellaneous,
6539279ee0265e4af914b849,2021-09-13,Negative Feedback,Inefficiency
6539279ee0265e4af914b856,2022-08-09,miscellaneous,
6539279ee0265e4af914b849,2020-04-27,Negative Feedback,Response Time
6539279ee0265e4af914b851,2023-01-20,Neutral Feedback,
6536be3227c19dbd146b1d61,2022-10-15,Positive Feedback,
6539279ee0265e4af914b84a,2020-12-18,Neutral Feedback,
6536be3227c19dbd146b1d61,2020-05-08,Positive Feedback,
6539279ee0265e4af914b84b,2023-08-11,miscellaneous,
6539279ee0265e4af914b846,2021-07-06,Negative Feedback,Negligence
6539279ee0265e4af914b849,2022-05-28,miscellaneous,
6539279ee0265e4af914b848,2021-08-26,Neutral Feedback,
6539279ee0265e4af914b856,2021-02-20,Positive Feedback,
6539279ee0265e4af914b84b,2023-05-11,Neutral Feedback,
6539279ee0265e4af914b848,2022-10-12,Positive Feedback,
6539279ee0265e4af914b84a,2021-10-03,Positive Feedback,
